genre,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
Country,A Thousand Horses,My Time's Comin',16zol4GvHyTER5irYODUk0,45,0.00192,0.327,194107,0.835,0.00015,C,0.167,-4.952,Major,0.0609,171.795,4/4,0.385
Soundtrack,Mark Mothersbaugh,House Tour,6ac5gUfGTckpdGQCyWsdh2,25,0.932,0.253,102920,0.0798,0.568,C,0.0906,-18.512,Major,0.0439,110.931,4/4,0.0487
Reggae,Unified Highway,We Can't Fall (Remix) [feat. J. Patz],09Yz6koF1Y15n1012t1UX6,19,0.0331,0.821,225437,0.737,0.0134,E,0.132,-6.295,Minor,0.212,137.968,4/4,0.787
Electronic,Stooki Sound,Endz - Original Mix,3dzEZARDL4ZwICMKVta7Xn,29,0.00428,0.745,225400,0.772,0.114,E,0.0722,-3.949,Major,0.0904,133.113,4/4,0.17
Comedy,Bill Hicks,I Love My Job (Live),39Z1G5384UgGa5vmW6WyxC,17,0.965,0.502,287973,0.804,9.56e-05,G,0.902,-9.935,Major,0.807,104.576,3/4,0.185
Children's Music,Sugar Kane Music,How Much Is That Doggy In The Window?,4jqa6EVFnjnnzP1Ud5Kmkx,16,0.715,0.787,133787,0.224,0.0,B,0.138,-9.607,Major,0.0366,146.054,3/4,0.657
Pop,Justin Timberlake,Morning Light,3KnLHwhRhJGuQM822JVSoI,63,0.382,0.62,243040,0.497,0.0482,A,0.193,-9.585,Minor,0.119,155.908,4/4,0.55
Hip-Hop,Lil Keke,Chunk Up the Deuce (feat. U.G.K. & Paul Wall),5i0n3xtjuVFLp646joI9XS,51,0.0298,0.929,299733,0.61,0.0,B,0.0958,-6.064,Minor,0.321,136.081,4/4,0.868
Country,Cole Swindell,Get Up,0xcNCh68MRPmaY9c8m5SuH,41,0.0709,0.57,161040,0.715,0.0,C#,0.0745,-3.399,Major,0.044,148.032,4/4,0.831
Soul,Hayden James,Something About You - ODESZA Remix,6vjWim6xU6tPjA42GxSp1U,65,0.0216,0.709,343800,0.669,0.0125,B,0.146,-8.422,Minor,0.0409,105.004,4/4,0.106
Comedy,Martin Lawrence,Wash Yo' Ass,2w7G8KNE2lKD0bitsvhoyi,18,0.66,0.648,72800,0.414,0.0,A#,0.882,-20.418,Major,0.949,88.283,4/4,0.524
Ska,Reel Big Fish,Where Have You Been - Live,2n3uYpguVyFKj1txkUyDXg,19,0.167,0.529,450093,0.643,5.78e-06,A,0.355,-7.51,Minor,0.0415,96.536,4/4,0.664
Anime,Ayumi Hamasaki,teddy bear,26h3quLOSrdc1AvJGPjqUr,27,0.938,0.543,258100,0.339,1.12e-05,G#,0.351,-8.523,Major,0.0365,110.981,3/4,0.367
R&B,LEISURE,Tied Up,5gQbAyvNJMGoyAGOcwXI6x,20,0.175,0.807,185173,0.594,0.0591,A,0.32,-7.945,Major,0.0295,130.086,4/4,0.83
Ska,Rancid,East Bay Night - Acoustic,0fJH378O6bjtlXaznTzu0L,27,0.8,0.631,127227,0.66,0.0,D,0.137,-7.478,Major,0.0257,97.159,4/4,0.614
Soul,Palace,Veins,1UsXMQwIzCKSk6oIdRE5Jc,47,0.349,0.429,269975,0.273,0.0384,C,0.111,-9.719,Major,0.0287,110.161,3/4,0.112
Opera,Dame Joan Sutherland,Handel: Rodelinda: Ritorna o caro,3GPzpZlnHgUfBPkuEtQymR,10,0.963,0.249,284173,0.257,0.111,G#,0.12,-15.19,Major,0.0445,79.599,4/4,0.115
Reggae,Bob Marley & The Wailers,Pimper's Paradise,5JqCmd41S3PZ2AS6GuHqcR,65,0.00499,0.939,207773,0.642,0.0,A,0.0427,-8.189,Minor,0.0525,134.709,4/4,0.967
Dance,Sigrid,Basic,27rABo3vAhwpnnqmTO9fMM,0,0.121,0.674,217743,0.531,0.0,F#,0.197,-6.941,Minor,0.0516,129.939,4/4,0.17
Rock,HUNNY,Parking Lot,49hK8RTciFjSL8QQSl8IY4,51,0.00303,0.498,205937,0.844,0.0,G,0.355,-5.163,Minor,0.0474,103.97,4/4,0.469
Ska,Jimmy Cliff,Sufferin' In The Land,34zHUd57FDbb1NPCQ6ceFH,21,0.145,0.873,191533,0.391,3.7e-05,G,0.15,-15.117,Major,0.0422,119.628,4/4,0.982
Reggae,Richie Spice,Earth Alert,2ypYip1195wsLtBUObdCik,0,0.134,0.81,261787,0.44,2.98e-05,C,0.0992,-7.745,Major,0.21,142.543,4/4,0.706
Soundtrack,Jeff Beal,I Know What I Have To Do,1lhFEWOnEuaoukpa22BTU2,35,0.949,0.236,163853,0.117,0.854,G#,0.123,-23.925,Major,0.0317,70.196,5/4,0.071
Soundtrack,Randy Edelman,A Steep But Beautiful Climb,2s0f9qk6C7XsivqH7UEQIK,31,0.987,0.34,153813,0.134,0.906,C,0.0959,-16.512,Major,0.0323,81.047,3/4,0.198
Folk,Natalie Merchant,Wonder,5Hz6aGrZZizNBoJ6kE6Rqi,53,0.346,0.719,266008,0.739,0.0102,C#,0.0581,-5.577,Major,0.0419,115.142,4/4,0.603
Anime,THE YELLOW MONKEY,Tactics - Remastered,63Fr7DWb720YiiTTlaxbZ7,29,0.00305,0.523,268160,0.96,1.4e-06,B,0.301,-3.532,Minor,0.0701,117.168,4/4,0.675
Ska,8 Kalacas,Terror,0zaajTUqLVXF7n8gBG0ndN,19,4.58e-06,0.307,169053,0.978,3.81e-05,A#,0.0553,-6.321,Minor,0.121,143.482,4/4,0.81
Rock,Deftones,Knife Prty,42Kv1RoTAm09FeytxiuZIB,55,0.00025,0.295,289200,0.883,0.0234,C,0.137,-3.897,Minor,0.0446,74.483,3/4,0.118
Reggae,Demarco,Self Reliance,3EiQKzwDSRuLvoWHZv8Rfr,33,0.0341,0.553,207835,0.733,0.0,D,0.172,-6.654,Major,0.356,124.185,5/4,0.281
Pop,Motion City Soundtrack,Everything Is Alright,6xyiHZgrmXw7sMyYXbXjPV,64,0.000494,0.435,207634,0.95,0.0,G#,0.317,-3.869,Major,0.106,160.987,4/4,0.457
Country,Robert Earl Keen,Gringo Honeymoon,7aJUDR4y5tVWYH1higXJIH,38,0.156,0.503,293387,0.614,8.89e-05,D,0.604,-10.875,Major,0.0296,108.631,4/4,0.493
Children’s Music,Never Shout Never,Your Biggest Fan,0L3di3gB5KlamEABLJK8KK,46,0.944,0.738,210667,0.308,0.0,C,0.131,-7.242,Major,0.0419,124.979,4/4,0.531
Alternative,The Internet,Just Sayin/I Tried,2F4JaV4P4zajoAiUkHD36b,50,0.427,0.489,413587,0.506,0.0862,B,0.12,-10.251,Major,0.177,95.528,4/4,0.431
Soul,Raphael Saadiq,Stone Rollin',34vq540jPfrXKt2aogxib9,35,0.00404,0.66,216307,0.806,0.0087,B,0.0704,-4.495,Major,0.0246,99.987,4/4,0.75
Rap,Huncho Jack,Modern Slavery,7J6bnDDitOwfelaJNixHhL,68,0.00158,0.737,148560,0.737,0.0,E,0.28,-3.72,Minor,0.238,134.066,4/4,0.5
Children's Music,Music For Little People Choir,You Won't See Me,3DVGgr2lBX9flRj895xSMp,0,0.0729,0.701,274267,0.739,0.000333,C,0.0805,-6.547,Major,0.0291,120.004,4/4,0.687
R&B,Jinsang,Restless,6JfrV3NDc9eCUPM3osbwOc,44,0.506,0.737,90187,0.259,0.135,G#,0.0893,-18.901,Minor,0.423,149.106,4/4,0.42
World,Passion,Here I Am To Worship - Live,2Cg6FXKNsP1JV4Nzoz2six,30,0.0996,0.367,291627,0.496,0.0,E,0.676,-9.038,Major,0.0356,76.069,4/4,0.197
Electronic,San Holo,show me,1rS3g0pYnbnwTtj3A4OvXP,61,0.235,0.474,341476,0.731,0.00536,C,0.223,-5.582,Major,0.0406,135.056,4/4,0.0876
Classical,Erik Satie,3 Gymnopedies (orch. Debussy): Gymnopedie No. 2,2euauaTvztPp2Ae6rCeTri,43,0.936,0.092,221000,0.0239,0.902,G,0.18,-31.457,Major,0.0488,67.289,3/4,0.0541
R&B,Shoffy,Let Go Today,3FUWD1PXnb6wxRpxqEp1zc,61,0.182,0.84,182400,0.193,0.0,G#,0.173,-11.186,Major,0.0696,99.99,4/4,0.204
Comedy,Robin Williams,My Way (A Mi Manera),2Z7CfiLTIg5rcF3kWsgBGi,39,0.375,0.475,104573,0.795,0.0,E,0.316,-5.005,Major,0.0824,95.518,4/4,0.412
Anime,Capcom Sound Team,Monster Hunter,1qteA4p8vKkpMkIKBmMvrl,21,0.706,0.294,184120,0.652,0.823,D#,0.116,-5.36,Minor,0.036,76.006,4/4,0.212
Indie,Lady Lamb,Deep Love,6SKThyaFX1OQKL4CmOmvO6,45,0.366,0.496,237680,0.469,0.0,G,0.133,-6.619,Major,0.0352,137.833,4/4,0.259
Opera,Richard Wagner,Lohengrin: Prelude to Act 1,0S3N4451MamSezHlJP2iZU,13,0.92,0.0942,589000,0.0341,0.953,A,0.277,-26.675,Major,0.04,84.676,4/4,0.0288
Country,Kellie Pickler,Santa Baby,1k8aOPSd54EREmgEGhCMtP,38,0.486,0.705,207200,0.44,0.0,D,0.113,-4.452,Major,0.0254,86.008,4/4,0.453
Soundtrack,Austin Wintory,The Road of Trials,13YXIfk31BKLqdOPcEoho3,44,0.889,0.34,256819,0.386,0.905,E,0.252,-16.785,Minor,0.0378,151.964,3/4,0.234
Indie,Arcade Fire,Suburban War,2rtDHB2fSisS34D0ArWg06,49,0.0935,0.313,285133,0.853,0.169,F,0.166,-5.812,Major,0.0372,119.955,3/4,0.579
Folk,Dan Auerbach,Never in My Wildest Dreams,3MJov5mT64K42o1Rffhblq,67,0.315,0.559,176027,0.466,0.0039,F,0.0933,-6.769,Major,0.0362,117.21,4/4,0.623
Movie,Jean Claude Corbel,La chanson de Bambi,1E3O49ta4DCQKk5edq4RCo,0,0.801,0.557,63023,0.247,0.0,E,0.179,-12.371,Minor,0.0308,109.603,4/4,0.276
Comedy,Mike Baldwin,Vodka & Cigarettes,778dD4v6b3gjH863Vo7nkp,16,0.712,0.446,175852,0.69,0.0,G#,0.953,-13.451,Major,0.911,85.848,3/4,0.298
Reggae,Lady Saw,Hice It Up,5Y1F5SHJmgfaieBeqfVWvd,38,0.561,0.797,197600,0.523,0.0,D,0.216,-9.817,Major,0.0448,93.909,4/4,0.653
Electronic,Oneohtrix Point Never,Chrome Country,5G54EXkOheyrrT3CDM07Mm,48,0.123,0.378,305287,0.318,0.896,G#,0.0933,-8.58,Major,0.0351,121.904,4/4,0.0382
Jazz,Deaf Center,Fiction Dawn,3ChhALyr8REPYB1d8i02S8,45,0.995,0.448,152160,0.00827,0.887,B,0.34,-27.805,Minor,0.0541,104.538,4/4,0.54
Movie,Nathan Lane,I Love to Travel,4uRbiSR27SdMbl2DYV1YTa,10,0.639,0.69,243267,0.418,0.0,C#,0.14,-8.028,Major,0.416,100.596,4/4,0.584
Soundtrack,John Williams,The Princess Appears,0mcjp7typ1CcpSiycHZT2E,34,0.956,0.185,247493,0.0599,0.872,G#,0.125,-27.514,Major,0.0428,77.707,1/4,0.0393
Anime,MAXIMUM THE HORMONE,UEHARA -FUTOSHI-,42CFeI68D2wyXtJN7dqyF4,22,0.000889,0.281,156373,0.984,0.000187,A#,0.236,-3.897,Minor,0.306,139.402,4/4,0.249
Anime,"Kami-sama, I have noticed",破滅のオレンジ,1jCdXQ7whHvxWvMzBiU9sW,39,0.0515,0.623,211507,0.952,0.0,A,0.117,-4.83,Minor,0.266,134.966,4/4,0.39
Rap,Blac Youngsta,Uh Uh,1HqwkyAAb8gLZlOAhUo6Kh,62,0.000385,0.903,163400,0.647,6.29e-05,C#,0.111,-9.612,Major,0.0998,142.963,4/4,0.817
Children’s Music,Passion,It Is Finished - Live,6CAEUmlr6iQeJRqgJXkouf,51,0.235,0.357,327587,0.556,0.0,F,0.104,-7.43,Major,0.0335,148.01,4/4,0.191
Jazz,Jordan Rakei,Hiding Place,0CKzjK51YsIhBsD8NMFyvV,53,0.465,0.645,226509,0.452,0.144,A,0.108,-8.305,Minor,0.0582,140.028,4/4,0.272
World,Philip Glass,The Crypt,4RpkSzYe5rNbKioFcqtAPD,31,0.974,0.153,77173,0.0459,0.71,F,0.114,-25.249,Major,0.0434,102.788,4/4,0.0402
Electronic,Dillon Francis,Need You,20UdW4qyeOmKa9YaOcv9WX,53,0.00171,0.721,197442,0.925,0.0545,E,0.547,-3.208,Minor,0.196,111.961,4/4,0.37
Hip-Hop,Chief Keef,I Just Wanna (feat. Mac Miller),1HXpDKleNbmMKgo2c3UOJn,48,0.0332,0.654,317846,0.526,0.0,C#,0.136,-7.591,Major,0.423,120.019,4/4,0.384
R&B,Pink Sweat$,Call Me,2L8v9XGq0NpHQBQBNCRID8,64,0.636,0.726,101500,0.375,0.0,E,0.0894,-8.295,Major,0.0336,106.854,4/4,0.762
Rock,The Flying Burrito Brothers,Wild Horses,6eYqvu9hPLkKQL0YgHXKFV,56,0.15,0.525,380467,0.391,0.000541,G,0.107,-12.166,Major,0.0284,130.443,4/4,0.27
Comedy,Todd Barry,"Prairie Dogs, Sweet Soap",3lbdnHpHHd2EsiLOq1dN03,20,0.857,0.561,152120,0.701,0.0,G#,0.434,-14.806,Major,0.929,81.994,5/4,0.423
Comedy,Jeff Foxworthy,Victoria's Secret,1GEHYX94u6gMcacs49ADK4,21,0.775,0.543,243333,0.892,0.0,B,0.704,-9.395,Major,0.948,95.459,1/4,0.171
Ska,The Black Seeds,Sometimes Enough,7j0XGTEsYy8M3n5yU8KL3Q,17,0.00377,0.798,286013,0.765,0.000788,D,0.0989,-7.299,Minor,0.0699,99.047,4/4,0.626
Folk,Lake Street Dive,Who Do You Think You Are?,5ZvK2j6sPgiEImPnfV9gVa,45,0.175,0.675,288118,0.777,0.00703,G,0.297,-4.699,Major,0.0392,105.022,4/4,0.507
Folk,Real Estate,Beneath The Dunes,3nmpt6D8VQ85pkOl6eMhQo,45,0.0607,0.523,227280,0.894,0.624,G#,0.235,-6.467,Minor,0.0281,140.735,4/4,0.842
Jazz,Russ Freeman,I'll Be Around,2FAmmtadUxJVOSqr6vxREa,33,0.07,0.765,246400,0.699,0.0,G,0.0759,-7.529,Minor,0.0263,110.414,4/4,0.633
Dance,Nelly,Pimp Juice,7bYKMJI4z6mApjLhv4hOBM,50,0.199,0.81,292160,0.649,7.66e-05,A,0.171,-9.094,Major,0.0908,74.383,4/4,0.59
Soundtrack,John Williams,"Theme - From ""Jurassic Park""",6IiA0iOiyieRdkb2OMyTJc,36,0.784,0.0969,361627,0.227,0.842,A#,0.128,-15.471,Major,0.037,62.992,4/4,0.0675
Rock,Whitney,No Woman,1CLmFKW99S8eJrebO3GB04,63,0.893,0.581,237973,0.4,0.576,D,0.161,-8.739,Major,0.0291,112.331,4/4,0.433
Pop,Sebastian Yatra,My Only One (No Hay Nadie Más),1gJA27xiMdENwoAVN7kMlo,68,0.693,0.727,198280,0.526,0.0,F#,0.116,-6.307,Major,0.0378,105.086,4/4,0.681
Hip-Hop,Young Thug,You Said (feat. Quavo),1gUakci7HwPcImtp0i79N3,59,0.147,0.577,402067,0.557,0.0,G#,0.21,-6.894,Major,0.114,119.977,4/4,0.177
Folk,City and Colour,The Death of Me,5cqsE9IslmBVMRZXzYqMin,39,0.293,0.563,190067,0.725,0.000525,G,0.361,-6.366,Major,0.0317,102.962,4/4,0.677
Soul,D'Angelo,Me And Those Dreamin' Eyes Of Mine,5MjUkhqCpr5uZ39xZmLZxe,48,0.702,0.511,286800,0.402,0.00014,E,0.11,-10.695,Minor,0.219,83.339,4/4,0.503
Children's Music,Juice Music,Fiddle Dee Dee,1LN4l0mSF8smwbmpIEw50W,0,0.585,0.967,79253,0.366,0.0,G,0.0596,-12.628,Major,0.113,110.048,4/4,0.964
Blues,Jimmy Reed,"Bright Lights, Big City",3uNEUuL8U3RqHVyhiuD6DY,27,0.973,0.744,156973,0.349,0.0155,D,0.108,-9.234,Major,0.0385,92.433,4/4,0.734
Soundtrack,Randy Edelman,Garden Scene,7Lzn4u1V6HqtsbnBe0o69O,20,0.988,0.0623,200973,0.021,0.913,E,0.0698,-29.708,Major,0.0451,58.082,4/4,0.0339
Electronic,Zero 7,Simple Science - Radio Edit,1IQrS6ioO9tCtevYzRHPLr,25,0.0123,0.678,238040,0.715,0.000145,C,0.163,-7.656,Major,0.0316,116.995,4/4,0.902
Comedy,Stephen Lynch,Mixer at Delta Chi,1Un4ZEzm64ncrnhxBCizXE,30,0.515,0.606,126413,0.814,0.0,C,0.219,-6.94,Major,0.215,132.043,4/4,0.84
Jazz,Benny Sings,So Far So Good,5DuCKh4EQGiHo3vQ9RE1XS,35,0.312,0.767,165893,0.371,0.0434,G,0.0809,-14.36,Minor,0.033,95.01,4/4,0.598
Pop,Henry Jamison,Real Peach,6p4mASLulKdpNFLxQhs0ff,69,0.398,0.579,233289,0.559,0.000206,C#,0.0817,-7.338,Major,0.0325,151.985,4/4,0.328
Jazz,The Cat Empire,Ready Now,6k9usWtGTXrKNazCmHJQB5,48,0.0297,0.621,194693,0.816,0.0949,G,0.324,-5.007,Minor,0.0409,85.023,4/4,0.72
Folk,Foxwarren,Everything Apart,1TDiJ89UnLFICb9WzmeGNX,53,0.19,0.656,256917,0.324,0.63,C,0.121,-12.341,Major,0.128,80.982,3/4,0.11
Soul,Two Another,Over My Shoulder,5PpbET7T64pTPhWB3Nsh7f,55,0.135,0.815,240104,0.81,0.00954,F#,0.54,-5.842,Major,0.0787,115.997,4/4,0.612
World,Shane & Shane,"Psalm 23 (Surely Goodness, Surely Mercy)",2Zxili8AmCuqiomg9HzTgH,51,0.203,0.509,287080,0.276,0.0,C,0.15,-10.406,Major,0.0301,109.707,4/4,0.138
Movie,Cliff Edwards,"I'm No Fool (As a Pedestrian) / Stop, Look and Listen",3EYevgARwnn5hgKWor63Pe,1,0.816,0.642,122827,0.27,0.0,D#,0.0726,-12.059,Major,0.323,164.488,3/4,0.795
Children’s Music,D'Angelo,Untitled (How Does It Feel),4oPNN7syJYSjzDhRerF966,60,0.16,0.838,430800,0.304,0.0257,E,0.0828,-9.975,Minor,0.0628,112.618,3/4,0.221
Indie,Andrew Bird,Pulaski,1tGRfoeKD06YvZr6l3uwEk,45,0.174,0.453,242147,0.717,0.00243,G,0.12,-7.724,Major,0.0754,111.019,4/4,0.393
Reggae,The Pioneers,Starvation,1kExFEJRsmEpMWN79nDCgR,33,0.574,0.707,161320,0.536,0.437,B,0.0953,-9.459,Major,0.171,170.863,4/4,0.966
Soul,Brandt Orange,Hands,0j9U4kbeDlULvhw56CvfAx,47,0.723,0.435,284870,0.398,0.0,A,0.193,-8.77,Major,0.0385,111.993,4/4,0.289
Pop,Meek Mill,All Eyes on You (feat. Chris Brown & Nicki Minaj),0hy1SOTEn9ifXTzOwnCwEr,72,0.0242,0.589,223973,0.658,0.0,B,0.118,-5.288,Minor,0.203,77.521,4/4,0.251
Soundtrack,Gustavo Santaolalla,The Path (A New Beginning),1hdDnQRPinE8hxYhW3uy6u,51,0.874,0.635,167067,0.256,0.95,B,0.107,-14.187,Minor,0.0355,92.025,4/4,0.249
Rap,Preme,Jackie Chan,6Tb8Fse6LfJ0CRZVlNjHF5,66,0.538,0.749,223173,0.641,0.0,F#,0.0775,-5.268,Major,0.0444,140.08,4/4,0.409
Soul,LEISURE,Easy Way Out,4NCFHqjNdvAFRb4Xihb7j2,52,0.201,0.875,232447,0.483,0.0113,F#,0.151,-9.275,Minor,0.0918,105.023,4/4,0.443
Children's Music,The Countdown Kids,The Alphabet Song,1o0ju17dryk4DRxGbMArvr,0,0.383,0.529,131907,0.538,7.45e-06,A#,0.328,-11.549,Major,0.0265,82.517,4/4,0.797
Movie,Susan Egan,"Gimme, Gimme (Live)",1Sd1DsVrD32iAxdn8wzoG6,13,0.469,0.473,256994,0.476,0.0,B,0.218,-8.038,Major,0.0807,100.185,4/4,0.317
Indie,Teen Daze,First Rain,4eIfgREA4jOxaTL0dpgd6T,50,0.964,0.225,237547,0.151,0.503,A,0.307,-16.13,Major,0.0352,147.697,4/4,0.0517
Electronic,Moby,Sunday (B-Sides),0k0kLt4zxS7qMSnnNMBUik,25,0.159,0.687,303440,0.63,0.953,B,0.105,-9.82,Minor,0.0461,126.004,4/4,0.108
World,Citipointe Live,Higher + Wider + Deeper,5pf1gg62QrDvphihR9yVQ3,36,0.00498,0.368,558973,0.463,6.02e-05,E,0.129,-9.916,Major,0.0305,180.108,4/4,0.0475
World,Jai Uttal,Nataraja,0bILFzh7lf1yF6aYzpLKa9,29,0.938,0.61,905867,0.244,0.897,B,0.113,-16.337,Minor,0.0313,180.033,5/4,0.54
Soul,THEY.,What You Want,50LSNgJLskXvLroHEHHnqP,42,0.0779,0.68,190358,0.909,0.0,C,0.378,-4.74,Major,0.0822,147.927,4/4,0.809
Blues,Billy Stewart,Strange Feeling,4HU9laLeRPjx2xB224e2CI,28,0.788,0.435,129907,0.33,0.000544,G,0.118,-15.266,Major,0.03,173.526,3/4,0.867
World,Pat Barrett,Sails,5IvlWYwqxT4HiJMUOyhXOV,52,0.816,0.276,323520,0.249,2.16e-06,A,0.0994,-8.751,Major,0.0304,136.231,3/4,0.158
Soul,Mura Masa,...Girl,2CJOCW4VWc0u6gKTvRkdXA,45,0.182,0.779,170455,0.74,0.806,G,0.0877,-9.084,Major,0.424,176.061,4/4,0.458
Indie,Eves Karydas,Wildest Ones,0EiTmP7qmDMsURvrMAdkGD,61,0.68,0.603,244267,0.337,0.00086,F#,0.102,-10.325,Major,0.0332,139.824,4/4,0.164
Movie,Chantal Goya,Polichinelle,0ioi9akKyfjHuYZFFiEEBG,21,0.24,0.576,210427,0.814,0.0,A,0.201,-7.64,Major,0.0643,132.228,4/4,0.802
Alternative,Five Finger Death Punch,Meet the Monster,6qqDeGDkNvcPmumiQUQzAB,42,0.000242,0.565,262853,0.922,0.0,F#,0.112,-4.936,Major,0.117,130.025,4/4,0.393
Rap,Rich Homie Quan,"Flex (Ooh, Ooh, Ooh)",2LLFl56eIFGFlnrplUC26f,64,0.038,0.728,176675,0.62,0.0,D,0.342,-7.533,Major,0.0434,81.998,4/4,0.885
Hip-Hop,BONES,Rocks,0MGnu06J9SaD1bBv1jtym1,51,0.229,0.653,137000,0.581,6.28e-06,C#,0.115,-10.909,Minor,0.0695,83.96,4/4,0.116
Soul,St. Paul & The Broken Bones,Flow with It (You Got Me Feeling Like),2eM4Ew20VXdjBhm6a6Cs9l,59,0.294,0.61,196867,0.752,0.0755,A#,0.116,-5.062,Minor,0.0389,89.995,4/4,0.832
Children’s Music,Rainbow Kitten Surprise,Seven,465hVdgg75kPgRdpJfEFFT,61,0.0492,0.641,225413,0.531,0.0,D,0.118,-7.243,Major,0.157,135.564,4/4,0.194
Comedy,Mitch Hedberg,Frogs And Bears,2qMKlf1ZnbMUCiju8weGXV,31,0.49,0.406,180000,0.391,0.000277,C#,0.469,-14.742,Major,0.874,55.484,4/4,0.66
Rock,Badflower,Promise Me,5TU1cWjUGyVKjSnIIxRSEf,54,0.00462,0.591,229667,0.797,1.3e-06,D,0.137,-4.675,Minor,0.0297,104.014,4/4,0.351
World,Cantoma,Talva Lumi,4BuVLQZthyt3pNZAdSFags,37,0.0937,0.655,268573,0.664,0.498,F,0.14,-9.094,Major,0.0327,109.993,4/4,0.679
Opera,Gaetano Donizetti,"Lucia di Lammermoor / Act 1: ""Regnava nel silenzio""",0tfitLOGSXTOXl13uaRRJA,11,0.982,0.247,247933,0.138,0.000208,G,0.255,-18.226,Minor,0.0779,78.005,4/4,0.0393
Classical,Avantasia,The Scarecrow,0sMkOknNHO935Su1QJEYFm,45,0.0015,0.237,672573,0.871,0.00292,B,0.132,-4.382,Minor,0.0402,93.004,4/4,0.293
Ska,Less Than Jake,Dopeman,2tCey0QlP8x23tw2wuXkJn,35,0.0367,0.537,126373,0.921,0.0,C,0.0517,-2.977,Major,0.0591,98.029,4/4,0.973
Alternative,Five Finger Death Punch,Bad Company,6nULLS7CipGMSzgQDxDpd1,66,0.000595,0.557,262440,0.886,9.84e-05,B,0.0904,-4.196,Minor,0.0498,114.025,4/4,0.17
Folk,Spoon,Do I Have to Talk You Into It,0EH6BeGSEWtbETiOAYr3sN,53,0.112,0.692,260080,0.9,5.44e-05,C,0.173,-4.273,Major,0.0972,79.038,4/4,0.931
Folk,Robert Palmer,"Bad Case Of Loving You (Doctor, Doctor)",75zVpdjXwmy6SLr2hDnJYo,48,0.00701,0.677,192440,0.748,3.99e-05,E,0.093,-12.328,Major,0.038,146.03,4/4,0.746
Blues,Joe Bonamassa,Just 'Cos You Can Don't Mean You Should,2NqFYXn1io5bJuQYok0xin,37,0.000388,0.344,400240,0.725,0.0146,B,0.112,-5.368,Minor,0.032,178.788,4/4,0.706
Country,Tim McGraw,Neon Church,4sm4HhZqRsUdWaW4QZdxg0,59,0.0836,0.471,213399,0.791,0.0,C,0.0868,-4.817,Major,0.0506,128.007,4/4,0.355
Indie,Wild Rivers,Call It a Night,7xLYbodWwH8CV7bIhhj2Cj,54,0.587,0.579,247794,0.38,0.0,A,0.107,-7.403,Major,0.0336,144.387,4/4,0.338
World,Dean Evenson,Beyond Time,6V0tzqEwap3BhQaR6j4cu8,26,0.99,0.248,255229,0.0527,0.954,A,0.0853,-22.65,Minor,0.0409,138.673,3/4,0.102
World,Park Hyo Shin,Dream,2obWsoOLEOy3Cj0trVf6QG,28,0.923,0.39,299938,0.118,1.9e-06,E,0.107,-15.537,Major,0.0309,140.12,4/4,0.235
Dance,Niall Horan,Since We're Alone,4WZT0Mi3tD0XrYRkkDlxNN,57,0.322,0.709,242792,0.68,0.0,C#,0.122,-7.954,Major,0.0348,126.961,4/4,0.818
World,Aphex Twin,#24,0gZzXPfSknP68aZ5sfyVUH,28,0.941,0.227,341880,0.293,0.965,C#,0.11,-18.071,Major,0.0447,138.386,3/4,0.0337
Pop,Why Don't We,Choose,0bSLDuIIIGla6l9C9DIXqP,64,0.0211,0.663,173053,0.715,2.6e-05,F,0.85,-4.536,Minor,0.07,77.024,4/4,0.607
Rap,Kanye West,FML,30Zcjs7pgEkmJA1lEbGSWT,70,0.313,0.667,236120,0.423,0.0,A,0.193,-7.146,Minor,0.0822,125.116,4/4,0.156
Blues,Bigg Robb,Please Don't Judge Me,6T8PxWj8KVfJtwS1Rl1ojj,28,0.222,0.699,351532,0.502,0.0,C,0.124,-6.976,Major,0.145,142.006,3/4,0.687
Reggae,Damian Marley,Affairs Of The Heart,6sqvv9aGQHlOq31v2BSw4R,47,0.318,0.538,239707,0.655,0.0,D,0.152,-7.377,Minor,0.308,113.283,5/4,0.693
Rock,John Prine,Sweet Revenge,3OjQfS3lbILlruNItB3ShG,53,0.613,0.577,161867,0.419,0.0,G,0.361,-11.945,Major,0.0374,163.942,4/4,0.855
Classical,Wolfgang Amadeus Mozart,"Requiem in D Minor, K. 626: 1. Introitus: Requiem - Live",3V4FF9d8nBWfFR3fJ8uXEp,41,0.977,0.2,271507,0.194,0.869,G,0.362,-18.541,Minor,0.0364,95.47,4/4,0.0634
Movie,Randy Newman,One More Hour - Soundtrack Version,2NB5pDeGD450rMBLZP3DXg,14,0.834,0.0828,167760,0.196,8.19e-06,A#,0.116,-17.521,Major,0.0414,65.489,4/4,0.0805
Folk,Damien Rice,Colour Me In,2FajXgzYMrbQZJ0qLNxhc8,43,0.817,0.48,318023,0.125,0.000109,D#,0.453,-14.061,Major,0.0333,116.391,3/4,0.233
Alternative,X,Los Angeles,3hgBGx3ShG9uCiJ3kvh8wm,44,0.0871,0.608,144821,0.791,1.81e-06,G,0.0868,-5.441,Major,0.0306,92.743,4/4,0.722
Rap,Pouya,Stick Out,0jakaHRU7ubOzJTseh6tJu,63,0.0042,0.77,135732,0.853,0.000961,A#,0.0936,-3.849,Minor,0.221,164.037,4/4,0.615
